L,v0,C,t,angle,velocity,accel
0.25,1.25,0.15000000000000002,0.8,-0.4023083620118486,3.960522723220968,7.443119339886031
0.25,1.25,0.15000000000000002,0.8200000000000001,-0.32182090432074273,4.077596645674923,4.2562030861165425
0.25,1.25,0.15000000000000002,0.84,-0.23963154747772958,4.130654997161867,1.0520967546521103
0.25,1.25,0.15000000000000002,0.86,-0.1570197478419348,4.120001371862418,-2.1038352966425196
0.25,1.25,0.15000000000000002,0.88,-0.07524564064289437,4.047269494778583,-5.144685522960595
0.25,1.25,0.15000000000000002,0.9,0.004476573155508937,3.9154092753846137,-8.006478694693719
0.25,1.25,0.15000000000000002,0.92,0.08100407857018625,3.72858583112805,-10.632296696449828
0.25,1.25,0.15000000000000002,0.9400000000000001,0.15328810582230892,3.4920042085931553,-12.975505263862072
0.25,1.25,0.15000000000000002,0.96,0.22039251816692593,3.2116817367524755,-15.001724398567488
0.25,1.25,0.15000000000000002,0.98,0.2815075443418944,2.894194715519864,-16.689424970343914
0.25,1.25,0.15000000000000002,1.0,0.3359584127862157,2.5464261245642494,-18.029266038560017
0.25,1.25,0.15000000000000002,1.02,0.38320914309711285,2.175336874873305,-19.022461563945132
0.25,1.25,0.15000000000000002,1.04,0.42286213513252213,1.7877762987698729,-19.678556284577308
0.25,1.25,0.15000000000000002,1.06,0.4546544324630154,1.3903397645135838,-20.012999210812396
0.25,1.25,0.15000000000000002,1.08,0.4784516198780377,0.9892739903927805,-20.044848704901188
0.25,1.25,0.15000000000000002,1.1,0.4942402630370532,0.5904248456871017,-19.794852614003965
0.25,1.25,0.15000000000000002,1.12,0.502119658177057,0.19921849682940615,-19.28404608076438
0.25,1.25,0.15000000000000002,1.1400000000000001,0.502293444268099,-0.1793350328351862,-18.53291634968502
0.25,1.25,0.15000000000000002,1.16,0.49506141872286497,-0.540627121323179,-17.56110850485799
0.25,1.25,0.15000000000000002,1.18,0.4808116732420015,-0.880434675820549,-16.38759036433491
0.25,1.25,0.15000000000000002,1.2,0.4600129896388774,-1.1949111876273344,-15.031158070594193
0.25,1.25,0.15000000000000002,1.22,0.43320729784870154,-1.480590154629815,-13.511142956126426
0.25,1.25,0.15000000000000002,1.24,0.4010019182776521,-1.7344034292605572,-11.848172982510707
0.25,1.25,0.15000000000000002,1.26,0.3640612854086618,-1.9537141573971537,-10.064847235560997
0.25,1.25,0.15000000000000002,1.28,0.3230978952981711,-2.1363612721938057,-8.18620027648892
0.25,1.25,0.15000000000000002,1.3,0.27886228481867115,-2.280710378700213,-6.239862578276121
0.25,1.25,0.15000000000000002,1.32,0.23213198716752226,-2.385704324677916,-4.255865110142634
0.25,1.25,0.15000000000000002,1.34,0.18369953707013156,-2.45090623949747,-2.266084007761614
0.25,1.25,0.15000000000000002,1.36,0.1343597501878264,-2.47652820252544,-0.30337150500850996
0.25,1.25,0.15000000000000002,1.3800000000000001,0.0848966183724979,-2.463440116575794,1.5995372268536672
0.25,1.25,0.15000000000000002,1.4000000000000001,0.03607025598980467,-2.4131554594211737,3.411220974001084
0.25,1.25,0.15000000000000002,1.42,-0.011395628873052715,-2.3277931636077143,5.102741126100391
0.25,1.25,0.15000000000000002,1.44,-0.05682527758616099,-2.210017455760459,6.64865893916412
0.25,1.25,0.15000000000000002,1.46,-0.09960102963707963,-2.0629596792759513,8.02780493213529
0.25,1.25,0.15000000000000002,1.48,-0.13917177479069143,-1.8901277318386795,9.2237438265364
0.25,1.25,0.15000000000000002,1.5,-0.1750595224947955,-1.695309389238472,10.224922074588108
0.25,1.25,0.15000000000000002,1.52,-0.20686402783243202,-1.4824756519203994,11.024525618857535
0.25,1.25,0.15000000000000002,1.54,-0.23426552997586517,-1.255689366054844,11.620106571272167
0.25,1.25,0.15000000000000002,1.56,-0.2570257492119104,-1.0190229851926007,12.013055384903085
0.25,1.25,0.15000000000000002,1.58,-0.27498735074712066,-0.7764877611182543,12.207999621363214
0.25,1.25,0.15000000000000002,1.6,-0.2880721138526295,-0.5319750635692198,12.212203241737145
0.25,1.25,0.15000000000000002,1.62,-0.2962780442715672,-0.289209199459508,12.035024852198793
0.25,1.25,0.15000000000000002,1.6400000000000001,-0.2996756462537065,-0.051710159853199524,11.687473439446594
0.25,1.25,0.15000000000000002,1.6600000000000001,-0.2984035288182403,0.17723590211338539,11.181878792939703
0.25,1.25,0.15000000000000002,1.68,-0.29266348131902625,0.3946007418427832,10.531674775555796
0.25,1.25,0.15000000000000002,1.7,-0.282715104750778,0.5976347553848214,9.751277571673214
0.25,1.25,0.15000000000000002,1.72,-0.26887004675973947,0.7838859873124239,8.856029938635878
0.25,1.25,0.15000000000000002,1.74,-0.2514858650512969,0.9512183910100298,7.862176614207834
0.25,1.25,0.15000000000000002,1.76,-0.2309595304433821,1.0978296124211007,6.786835137214749
0.25,1.25,0.15000000000000002,1.78,-0.20772058213564681,1.2222678702075331,5.64793020850435
0.25,1.25,0.15000000000000002,1.8,-0.182223962011924,1.3234469603186634,4.464067433054071
0.25,1.25,0.15000000000000002,1.82,-0.15494257855871735,1.400657999947557,3.2543328815744963
0.25,1.25,0.15000000000000002,1.84,-0.12635968198385106,1.4535763866896108,2.0380168621215295
0.25,1.25,0.15000000000000002,1.86,-0.09696115948128373,1.482262562153144,0.8342718614018123
0.25,1.25,0.15000000000000002,1.8800000000000001,-0.06722788720448786,1.487155431369299,-0.338275249175954
0.25,1.25,0.15000000000000002,1.9000000000000001,-0.03762829317112764,1.4690577915738376,-1.4619297690711257
0.25,1.25,0.15000000000000002,1.92,-0.00861129077020159,1.4291136843722518,-2.5203244951180515
0.25,1.25,0.15000000000000002,1.94,0.019400249758121477,1.3687782225624208,-3.4987744936365144
0.25,1.25,0.15000000000000002,1.96,0.04601537328111341,1.2897809087605205,-4.384567916641809
0.25,1.25,0.15000000000000002,1.98,0.07088011311310335,1.194083934360272,-5.167175191620059
0.25,1.25,0.15000000000000002,2.0,0.09368170064436489,1.0838371810444811,-5.838369629502944
0.25,3.75,0.05,0.0,1.5707963267948966,3.75,-41.74
0.25,3.75,0.05,0.02,1.6374885008002182,2.921357201746741,-41.10033706882496
0.25,3.75,0.05,0.04,1.6877432902281817,2.106540816693215,-40.376331490408944
0.25,3.75,0.05,0.06,1.7218471084383407,1.3062185334390548,-39.66400630150603
0.25,3.75,0.05,0.08,1.7400828118910165,0.5194821584467796,-39.0253946698357
0.25,3.75,0.05,0.1,1.7427048286360498,-0.2555002354180657,-38.491272337126
0.25,3.75,0.05,0.12,1.7299267366599154,-1.020884585285485,-38.06363059862449
0.25,3.75,0.05,0.14,1.701920437938648,-1.77859406419502,-37.717416573553
0.25,3.75,0.05,0.16,1.6588261193622247,-2.52978909372732,-37.40153192047153
0.25,3.75,0.05,0.18,1.6007726850296653,-3.274352983558812,-37.03946915122128
0.25,3.75,0.05,0.2,1.5279083254707209,-4.010392395636707,-36.530321952464774
0.25,3.75,0.05,0.22,1.4404408060173657,-4.7337702472290895,-35.75123094032795
0.25,3.75,0.05,0.24,1.3386864296502434,-5.437713099528395,-34.562567447927194
0.25,3.75,0.05,0.26,1.22312558887747,-6.112560330027805,-32.81718595319308
0.25,3.75,0.05,0.28,1.0944611498064851,-6.745747642609261,-30.374689170455557
0.25,3.75,0.05,0.3,0.9536739634952195,-7.3221269986735935,-27.12064991764368
0.25,3.75,0.05,0.32,0.8020678871112421,-7.824707498083209,-22.98905460910872
0.25,3.75,0.05,0.34,0.6412954502313659,-8.235847414240785,-17.984137809809255
0.25,3.75,0.05,0.36,0.47335562832711364,-8.538830936297119,-12.196000731756378
0.25,3.75,0.05,0.38,0.300557669349676,-8.719644117461847,-5.804020602933559
0.25,3.75,0.05,0.4,0.1254497897209437,-8.768660287090729,0.9360254427198695
0.25,3.75,0.05,0.42,-0.04928216736480731,-8.681901851932585,7.720984117020885
0.25,3.75,0.05,0.44,-0.22093464771836818,-8.461600417287755,14.240185210550955
0.25,3.75,0.05,0.46,-0.38690925233449336,-8.115926074479315,20.21696587577963
0.25,3.75,0.05,0.48,-0.5448222768506529,-7.657952703364932,25.44206381749132
0.25,3.75,0.05,0.5,-0.6925878000672345,-7.104097811173293,29.79201690462154
0.25,3.75,0.05,0.52,-0.8284670215169396,-6.472363941963115,33.23070576122624
0.25,3.75,0.05,0.54,-0.9510831289336223,-5.78069790853261,35.7969269686094
0.25,3.75,0.05,0.56,-1.0594064984801452,-5.0456903676370635,37.583631335699074
0.25,3.75,0.05,0.58,-1.1527182817747372,-4.28172506078825,38.714779476543455
0.25,3.75,0.05,0.6,-1.2305615274182742,-3.5005748662204077,39.32433604058862
0.25,3.75,0.05,0.62,-1.292688142914771,-2.7113745428993057,39.53984615513956
0.25,3.75,0.05,0.64,-1.3390082463047104,-1.920869998708588,39.471192391461926
0.25,3.75,0.05,0.66,-1.3695464524776528,-1.1338447610148619,39.203935234370114
0.25,3.75,0.05,0.68,-1.3844077229402072,-0.35364333460059777,38.796120486202675
0.25,3.75,0.05,0.7000000000000001,-1.383754194542432,0.41726697931937606,38.27741983644193
0.25,3.75,0.05,0.72,-1.3677932878913945,1.1767327418089542,37.6497396000683
0.25,3.75,0.05,0.74,-1.3367768872103782,1.9223735889216682,36.888821157702814
0.25,3.75,0.05,0.76,-1.2910109614647767,2.6510824338935564,35.94675378173306
0.25,3.75,0.05,0.78,-1.2308746077548665,3.3585869441820897,34.75565938646045
0.25,3.75,0.05,0.8,-1.1568470266816169,4.039100360897817,33.23303432243659
0.25,3.75,0.05,0.8200000000000001,-1.0695402722144034,4.685100305781458,31.289282640875737
0.25,3.75,0.05,0.84,-0.9697347549478534,5.287283272147836,28.837774978524028
0.25,3.75,0.05,0.86,-0.8584134786100825,5.8347446487804735,25.807257434116593
