L,v0,C,t,angle,velocity,accel
0.3,5.0,0.0,0.66,-1.203077024961484,-6.964950082407967,30.51399374319596
0.3,5.0,0.0,0.68,-1.3361759257054922,-6.340646071267224,31.804106923361466
0.3,5.0,0.0,0.7000000000000001,-1.4565734440145293,-5.696836741594397,32.48691555027124
0.3,5.0,0.0,0.72,-1.5639918685140382,-5.0443050167194405,32.699242987252546
0.3,5.0,0.0,0.74,-1.6583417986888276,-4.391109339755253,32.574770185192335
0.3,5.0,0.0,0.76,-1.7396689699638441,-3.7427465406315004,32.23483823068241
0.3,5.0,0.0,0.78,-1.8081058838914348,-3.102453825334803,31.783549274194012
0.3,5.0,0.0,0.8,-1.8638302187720441,-2.471574993210921,31.30606173845701
0.3,5.0,0.0,0.8200000000000001,-1.907030754611638,-1.849938493210523,30.86892257187324
0.3,5.0,0.0,0.84,-1.9378807059229977,-1.236216847222867,30.521451274971522
0.3,5.0,0.0,0.86,-1.9565179384999118,-0.6282542880509914,30.297438901263344
0.3,5.0,0.0,0.88,-1.9630313996959226,-0.02336153408383831,30.21666394992349
0.3,5.0,0.0,0.9,-1.9574531743253722,0.5814152227317089,30.28591977388086
0.3,5.0,0.0,0.92,-1.9397557531738043,1.1890395173165411,30.499392294058808
0.3,5.0,0.0,0.9400000000000001,-1.9098543703492332,1.8022304274848597,30.838335945993375
0.3,5.0,0.0,0.96,-1.867614534582368,2.423195092052862,31.27009229466827
0.3,5.0,0.0,0.98,-1.8128651416665722,3.0533362709464145,31.74660317572263
0.3,5.0,0.0,1.0,-1.7454177565085571,3.6929273507921776,32.202710842598314
0.3,5.0,0.0,1.02,-1.6650927243891285,4.340755113750631,32.55472658988124
0.3,5.0,0.0,1.04,-1.5717526595962377,4.9937421733360905,32.699985046741965
0.3,5.0,0.0,1.06,-1.4653434729646662,5.64657836849384,32.51835144927279
0.3,5.0,0.0,1.08,-1.3459422645711971,6.291411480493593,31.876831662144493
0.3,5.0,0.0,1.1,-1.2138102318278032,6.917670393185634,30.638405364461995
0.3,5.0,0.0,1.12,-1.0694470197900718,7.512113657003267,28.67577028081552
0.3,5.0,0.0,1.1400000000000001,-0.9136410286462737,8.059200655274415,25.8896745724338
0.3,5.0,0.0,1.16,-0.7475084050266568,8.541860642612686,22.229903862630685
